datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10
19.03.2023;Oberbürgermeisterwahl;6411000;760;00760 - Heinrich-Heine-Schule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;780;00780 - Wilhelm-Leuschner-Schule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;790;00790 - Wilhelm-Leuschner-Schule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;800;00800 - Verwaltungsseminar;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;810;00810 - Verwaltungsseminar;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;820;00820 - Friedrich-Ebert-Schule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;831;00831 - Friedrich-Ebert-Schule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;832;00832 - Friedrich-Ebert-Schule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;840;00840 - Friedrich-Ebert-Schule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;850;00850 - Friedrich-Ebert-Schule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;860;00860 - Ehem. Außenst. Georg-Aug.-Zinn-Sch.;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;870;00870 - Ehem. Außenst. Georg-Aug.-Zinn-Sch.;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;880;00880 - Zinn-Schule, Brechtstr.;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;890;00890 - Zinn-Schule, Brechtstr.;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;900;00900 - Frankensteinschule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;910;00910 - Andersenschule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;920;00920 - Andersenschule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;930;00930 - Andersenschule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;940;00940 - Gutenbergschule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;950;00950 - Gutenbergschule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;960;00960 - Haus der Vereine;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;970;00970 - Haus der Vereine;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;980;00980 - Ludwig-Schwamb-Schule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;990;00990 - Ludwig-Schwamb-Schule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;1000;01000 - Ludwig-Schwamb-Schule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;1010;01010 - Ludwig-Schwamb-Schule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;1020;01020 - Haus der Vielfalt;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;1030;01030 - Haus der Vielfalt;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;1040;01040 - Frankensteinschule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;1050;01050 - Frankensteinschule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;91010;91010;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;91011;91011;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;91012;91012;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;91013;91013;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;91014;91014;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;91015;91015;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;91016;91016;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;92020;92020;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;92021;92021;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;92022;92022;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;92023;92023;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;92024;92024;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;92025;92025;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;92026;92026;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;92027;92027;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;92028;92028;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;93030;93030;1;1;;;;;;;;19;;;;77;;22;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;93031;93031;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;93032;93032;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;93033;93033;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;93034;93034;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;93035;93035;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;93036;93036;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;94040;94040;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;94041;94041;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;94042;94042;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;94043;94043;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;94044;94044;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;94045;94045;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;95050;95050;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;95051;95051;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;95052;95052;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;95053;95053;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;95054;95054;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;95055;95055;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;96060;96060;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;96061;96061;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;96062;96062;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;96063;96063;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;96064;96064;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;96065;96065;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;96066;96066;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;97070;97070;1;0;;;;;;;;;;;;;;;;;;
